Purchase ID,SN,Age,Gender,Item ID,Item Name,Price
0,Lisim78,20.0,Male,108.0,"Extraction, Quickblade Of Trembling Hands",3.53
1,Lisovynya38,40.0,Male,143.0,Frenzied Scimitar,1.56
2,Ithergue48,24.0,Male,92.0,Final Critic,4.88
3,Chamassasya86,24.0,Male,100.0,Blindscythe,3.27
4,Iskosia90,23.0,Male,131.0,Fury,1.44
5,Yalae81,22.0,Male,81.0,Dreamkiss,3.61
6,Itheria73,36.0,Male,169.0,"Interrogator, Blood Blade of the Queen",2.18
7,Iskjaskst81,20.0,Male,162.0,Abyssal Shard,2.67
8,Undjask33,22.0,Male,21.0,Souleater,1.1
9,Chanosian48,35.0,Other / Non-Disclosed,136.0,Ghastly Adamantite Protector,3.58
10,Inguron55,23.0,Male,95.0,Singed Onyx Warscythe,4.74
11,Haisrisuir60,23.0,Male,162.0,Abyssal Shard,2.67
12,Saelaephos52,21.0,Male,116.0,Renewed Skeletal Katana,4.18
13,Assjaskan73,22.0,Male,4.0,Bloodlord's Fetish,1.7
14,Saesrideu94,35.0,Male,165.0,Bone Crushing Silver Skewer,4.86
15,Lisassa64,21.0,Female,98.0,"Deadline, Voice Of Subtlety",2.89
16,Lisirra25,20.0,Male,40.0,Second Chance,2.52
17,Zontibe81,21.0,Male,161.0,Devine,1.76
18,Reunasu60,22.0,Female,82.0,Nirvana,4.9
19,Chamalo71,30.0,Male,89.0,"Blazefury, Protector of Delusions",4.64
20,Iathenudil29,20.0,Male,57.0,"Despair, Favor of Due Diligence",4.6
21,Phiarithdeu40,20.0,Male,168.0,"Sun Strike, Jaws of Twisted Visions",1.48
22,Siarithria38,38.0,Other / Non-Disclosed,24.0,Warped Fetish,3.81
23,Eyrian71,40.0,Male,151.0,Severance,3.4
24,Siala43,30.0,Male,141.0,Persuasion,3.19
25,Lisirra87,29.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
26,Lirtossa84,11.0,Male,71.0,Demise,1.61
27,Eusri44,7.0,Male,96.0,Blood-Forged Skeletal Spine,3.09
28,Aela59,21.0,Male,119.0,"Stormbringer, Dark Blade of Ending Misery",4.32
29,Tyida79,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
30,Idai61,19.0,Male,140.0,Striker,2.94
31,Farusrian86,37.0,Male,179.0,"Wolf, Promise of the Moonwalker",4.48
32,Aeralria27,10.0,Male,133.0,Faith's Scimitar,4.09
33,Haillyrgue51,7.0,Male,44.0,Bonecarvin Battle Axe,2.38
34,Sondim73,19.0,Male,160.0,Azurewrath,4.4
35,Jeyciman68,22.0,Male,53.0,Vengeance Cleaver,2.05
36,Idaisuir85,30.0,Male,76.0,Haunted Bronzed Bludgeon,3.15
37,Seuthep89,8.0,Male,73.0,Ritual Mace,2.05
38,Reulae52,10.0,Female,116.0,Renewed Skeletal Katana,4.18
39,Sondilsaya62,21.0,Male,172.0,Blade of the Grave,3.14
40,Aerithriaphos45,20.0,Male,143.0,Frenzied Scimitar,1.56
41,Assosia88,20.0,Female,7.0,"Thorn, Satchel of Dark Souls",1.33
42,Aidaillodeu39,18.0,Male,72.0,Winter's Bite,3.77
43,Aelly27,24.0,Male,116.0,Renewed Skeletal Katana,4.18
44,Tyeosri53,24.0,Male,9.0,"Thorn, Conqueror of the Corrupted",2.73
45,Haerith37,23.0,Male,181.0,Reaper's Toll,1.66
46,Yasrisu92,27.0,Male,102.0,Avenger,3.44
47,Chanuchi25,20.0,Male,170.0,Shadowsteel,3.97
48,Asur96,20.0,Male,138.0,"Peacekeeper, Wit of Dark Magic",4.74
49,Iaralrgue74,33.0,Male,110.0,Suspension,1.44
50,Saelaephos52,21.0,Male,22.0,Amnesia,2.18
51,Chanosia34,22.0,Male,15.0,Soul Infused Crystal,2.96
52,Aelin32,20.0,Male,60.0,Wolf,3.54
53,Ilosianya35,32.0,Male,176.0,Relentless Iron Skewer,2.84
54,Zhisrisu83,10.0,Male,25.0,Hero Cane,4.35
55,Phaelap26,25.0,Female,84.0,Arcane Gem,3.79
56,Raesty92,12.0,Male,108.0,"Extraction, Quickblade Of Trembling Hands",3.53
57,Palyon91,21.0,Male,80.0,Dreamsong,3.39
58,Tyisur83,23.0,Male,152.0,Darkheart,1.74
59,Yaliru88,19.0,Male,105.0,Hailstorm Shadowsteel Scythe,3.03
60,Yadanu52,34.0,Male,44.0,Bonecarvin Battle Axe,2.38
61,Jiskimya77,17.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
62,Yadaphos40,30.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
63,Alo38,20.0,Male,125.0,Whistling Mithril Warblade,1.0
64,Phaena87,20.0,Male,56.0,Foul Titanium Battle Axe,2.92
65,Chamirraya83,25.0,Male,34.0,Retribution Axe,2.22
66,Chanastsda67,21.0,Female,6.0,Rusty Skull,3.7
67,Lisim78,20.0,Male,138.0,"Peacekeeper, Wit of Dark Magic",4.74
68,Indonmol95,15.0,Male,27.0,"Riddle, Tribute of Ended Dreams",3.3
69,Jiskossa61,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
70,Pheodai94,29.0,Male,143.0,Frenzied Scimitar,1.56
71,Hari50,20.0,Female,29.0,"Chaos, Ender of the End",1.98
72,Marilsa69,25.0,Female,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
73,Assistasda42,21.0,Male,68.0,"Storm-Weaver, Slayer of Inception",4.32
74,Lisosia93,25.0,Male,89.0,"Blazefury, Protector of Delusions",4.64
75,Philodil43,33.0,Male,124.0,Venom Claymore,1.29
76,Mindadaran26,13.0,Female,88.0,"Emberling, Defender of Delusions",3.75
77,Lirtosia63,34.0,Male,20.0,Netherbane,3.27
78,Haillyrgue51,7.0,Male,50.0,Dawn,4.6
79,Assjaskan56,26.0,Male,15.0,Soul Infused Crystal,2.96
80,Irithlis29,23.0,Male,165.0,Bone Crushing Silver Skewer,4.86
81,Heudai45,8.0,Female,174.0,Primitive Blade,3.47
82,Haerithp41,16.0,Other / Non-Disclosed,160.0,Azurewrath,4.4
83,Aina42,25.0,Male,12.0,Dawne,1.02
84,Jiskjask60,21.0,Female,34.0,Retribution Axe,2.22
85,Umolrian85,32.0,Female,33.0,Curved Axe,1.16
86,Qarirwen82,33.0,Male,129.0,"Fate, Vengeance of Eternal Justice",1.54
87,Aelin32,20.0,Male,151.0,Severance,3.4
88,Laedallo55,30.0,Male,82.0,Nirvana,4.9
89,Eoralrap26,22.0,Male,17.0,"Lazarus, Terror of the Earth",1.7
90,Undosian34,21.0,Male,60.0,Wolf,3.54
91,Chadolyla44,20.0,Male,59.0,"Lightning, Etcher of the King",4.23
92,Chadistaya75,21.0,Female,39.0,"Betrayal, Whisper of Grieving Widows",3.94
93,Yathedeu43,22.0,Male,88.0,"Emberling, Defender of Delusions",3.75
94,Aina43,19.0,Male,96.0,Blood-Forged Skeletal Spine,3.09
95,Ilassast39,18.0,Male,164.0,Exiled Doomblade,1.63
96,Lisassala98,16.0,Male,56.0,Foul Titanium Battle Axe,2.92
97,Aiduecal76,20.0,Male,134.0,Undead Crusader,4.5
98,Chadossa89,23.0,Male,141.0,Persuasion,3.19
99,Haisrisuir60,23.0,Male,101.0,Final Critic,4.19
100,Pheodaisun84,30.0,Male,12.0,Dawne,1.02
101,Heollyriap59,21.0,Male,174.0,Primitive Blade,3.47
102,Maropast28,24.0,Male,109.0,"Downfall, Scalpel Of The Emperor",4.76
103,Frichim77,24.0,Male,7.0,"Thorn, Satchel of Dark Souls",1.33
104,Thryallym62,24.0,Male,53.0,Vengeance Cleaver,2.05
105,Eulanurin88,27.0,Male,10.0,Sleepwalker,1.79
106,Lassjaskan73,22.0,Male,54.0,Eternal Cleaver,2.5
107,Tyaerith73,36.0,Male,99.0,"Expiration, Warscythe Of Lost Worlds",1.71
108,Sondadarya58,19.0,Male,85.0,Malificent Bag,1.75
109,Hirirap39,22.0,Male,33.0,Curved Axe,1.16
110,Ririp86,25.0,Male,139.0,"Mercy, Katana of Dismay",4.94
111,Sundim98,21.0,Other / Non-Disclosed,41.0,Orbit,4.75
112,Iskichinya81,21.0,Female,7.0,"Thorn, Satchel of Dark Souls",1.33
113,Phyali88,15.0,Female,140.0,Striker,2.94
114,Undirrala66,22.0,Male,150.0,Deathraze,2.85
115,Nitherian58,28.0,Male,13.0,Serenity,1.41
116,Lassilsala30,21.0,Male,139.0,"Mercy, Katana of Dismay",4.94
117,Frichaststa61,21.0,Female,117.0,"Heartstriker, Legacy of the Light",1.79
118,Pheodaisun84,30.0,Male,78.0,"Glimmer, Ender of the Moon",4.4
119,Frichosia58,15.0,Female,87.0,"Deluge, Edge of the West",4.43
120,Lisosia93,25.0,Male,24.0,Warped Fetish,3.81
121,Ilosia37,23.0,Male,1.0,Crucifer,3.26
122,Lisista27,16.0,Male,174.0,Primitive Blade,3.47
123,Seudaillorap38,27.0,Male,81.0,Dreamkiss,3.61
124,Aesty53,21.0,Male,150.0,Deathraze,2.85
125,Yathecal82,20.0,Female,62.0,Piece Maker,1.87
126,Frichim77,24.0,Male,75.0,Brutality Ivory Warmace,2.42
127,Lisossanya98,37.0,Male,102.0,Avenger,3.44
128,Iral74,21.0,Male,58.0,"Freak's Bite, Favor of Holy Might",4.14
129,Lisast87,19.0,Male,74.0,Yearning Crusher,4.18
130,Maridisya31,25.0,Male,120.0,Agatha,3.08
131,Jiskassa76,22.0,Male,62.0,Piece Maker,1.87
132,Inguron55,23.0,Male,145.0,Fiery Glass Crusader,4.58
133,Phaena87,20.0,Male,0.0,Splinter,1.28
134,Phyali88,15.0,Female,2.0,Verdict,2.48
135,Ethriel85,30.0,Male,146.0,Warped Iron Scimitar,3.1
136,Iskirra45,22.0,Male,105.0,Hailstorm Shadowsteel Scythe,3.03
137,Iri67,20.0,Male,179.0,"Wolf, Promise of the Moonwalker",4.48
138,Rarallo90,33.0,Male,136.0,Ghastly Adamantite Protector,3.58
139,Lisasi93,13.0,Male,158.0,"Darkheart, Butcher of the Champion",2.45
140,Hari50,20.0,Female,8.0,"Purgatory, Gem of Regret",3.93
141,Zhisrisu83,10.0,Male,60.0,Wolf,3.54
142,Adastirin33,35.0,Female,175.0,Woeful Adamantite Claymore,4.48
143,Eyista89,34.0,Male,124.0,Venom Claymore,1.29
144,Ili43,18.0,Male,22.0,Amnesia,2.18
145,Chamirra53,23.0,Male,46.0,Hopeless Ebon Dualblade,1.33
146,Aidaillodeu39,18.0,Male,133.0,Faith's Scimitar,4.09
147,Hailaphos89,35.0,Male,24.0,Warped Fetish,3.81
148,Iskadarya95,20.0,Male,148.0,"Warmonger, Gift of Suffering's End",4.03
149,Qilatista90,17.0,Male,161.0,Devine,1.76
150,Inasti31,17.0,Male,0.0,Splinter,1.28
151,Marilsanya48,25.0,Male,105.0,Hailstorm Shadowsteel Scythe,3.03
152,Marjask87,20.0,Male,110.0,Suspension,1.44
153,Chanjaskan89,21.0,Male,164.0,Exiled Doomblade,1.63
154,Hyaduesu61,20.0,Male,59.0,"Lightning, Etcher of the King",4.23
155,Aillyrin83,10.0,Female,98.0,"Deadline, Voice Of Subtlety",2.89
156,Eyrian71,40.0,Male,117.0,"Heartstriker, Legacy of the Light",1.79
157,Marast30,18.0,Female,108.0,"Extraction, Quickblade Of Trembling Hands",3.53
158,Sundadar27,31.0,Male,111.0,Misery's End,4.89
159,Tyaelorap29,25.0,Male,39.0,"Betrayal, Whisper of Grieving Widows",3.94
160,Lirtimst73,24.0,Male,44.0,Bonecarvin Battle Axe,2.38
161,Iri67,20.0,Male,3.0,Phantomlight,2.49
162,Styaduen40,17.0,Male,181.0,Reaper's Toll,1.66
163,Sidap51,11.0,Male,65.0,Conqueror Adamantite Mace,4.24
164,Chanastst38,22.0,Male,96.0,Blood-Forged Skeletal Spine,3.09
165,Lirtassa52,15.0,Male,183.0,Dragon's Greatsword,1.09
166,Sondim68,22.0,Female,30.0,Stormcaller,2.21
167,Aeral97,23.0,Male,157.0,"Spada, Etcher of Hatred",4.8
168,Iskjaskst81,20.0,Male,85.0,Malificent Bag,1.75
169,Heosurnuru52,16.0,Female,123.0,Twilight's Carver,2.28
170,Lisopela58,22.0,Male,75.0,Brutality Ivory Warmace,2.42
171,Caesrinusuir82,30.0,Male,102.0,Avenger,3.44
172,Tyirinu79,21.0,Male,65.0,Conqueror Adamantite Mace,4.24
173,Fironon91,30.0,Male,5.0,Putrid Fan,4.08
174,Lassjask63,30.0,Male,144.0,Blood Infused Guardian,1.94
175,Indcil77,17.0,Male,103.0,Singed Scalpel,4.35
176,Chamimla73,17.0,Male,157.0,"Spada, Etcher of Hatred",4.8
177,Syathe73,30.0,Female,135.0,Warped Diamond Crusader,1.4
178,Baelollodeu94,20.0,Female,57.0,"Despair, Favor of Due Diligence",4.6
179,Mindista32,24.0,Male,59.0,"Lightning, Etcher of the King",4.23
180,Saena74,24.0,Male,95.0,Singed Onyx Warscythe,4.74
181,Marirrasta50,16.0,Male,51.0,Endbringer,4.66
182,Lamil79,38.0,Male,154.0,Feral Katana,4.4
183,Aenarap34,21.0,Male,15.0,Soul Infused Crystal,2.96
184,Aisur51,28.0,Male,32.0,Orenmir,1.14
185,Thrientossa55,20.0,Male,150.0,Deathraze,2.85
186,Chadista79,30.0,Male,77.0,"Piety, Guardian of Riddles",4.0
187,Tyeurith29,8.0,Male,11.0,Brimstone,3.65
188,Malunil62,18.0,Male,88.0,"Emberling, Defender of Delusions",3.75
189,Hiasri33,23.0,Male,63.0,Stormfury Mace,4.99
190,Lisadar44,27.0,Male,69.0,"Frenzy, Defender of the Harvest",1.98
191,Frichjask31,23.0,Male,87.0,"Deluge, Edge of the West",4.43
192,Lisjaskya84,25.0,Male,98.0,"Deadline, Voice Of Subtlety",2.89
193,Ristydru66,27.0,Male,62.0,Piece Maker,1.87
194,Frichast28,20.0,Male,73.0,Ritual Mace,2.05
195,Minduri31,39.0,Male,113.0,Solitude's Reaver,4.07
196,Maradaran90,35.0,Female,9.0,"Thorn, Conqueror of the Corrupted",2.73
197,Mindetosya30,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
198,Chadolyla44,20.0,Male,153.0,Mercenary Sabre,3.74
199,Ialallo29,15.0,Female,138.0,"Peacekeeper, Wit of Dark Magic",4.74
200,Pheusrical25,23.0,Male,114.0,Yearning Mageblade,3.82
201,Chanosia60,31.0,Male,2.0,Verdict,2.48
202,Phistym51,37.0,Male,82.0,Nirvana,4.9
203,Aelollo59,33.0,Male,3.0,Phantomlight,2.49
204,Chamimla85,16.0,Male,0.0,Splinter,1.28
205,Jiskimya77,17.0,Male,149.0,"Tranquility, Razor of Black Magic",1.75
206,Haisurra41,20.0,Female,78.0,"Glimmer, Ender of the Moon",4.4
207,Sondastsda82,24.0,Male,145.0,Fiery Glass Crusader,4.58
208,Qilanrion65,37.0,Male,105.0,Hailstorm Shadowsteel Scythe,3.03
209,Eulasuir89,22.0,Male,162.0,Abyssal Shard,2.67
210,Umolrian85,32.0,Female,136.0,Ghastly Adamantite Protector,3.58
211,Eosrirgue62,17.0,Male,120.0,Agatha,3.08
212,Shaidanu32,23.0,Male,159.0,"Oathbreaker, Spellblade of Trials",3.08
213,Lirtastan49,29.0,Male,2.0,Verdict,2.48
214,Iaralsuir44,23.0,Male,137.0,"Aetherius, Boon of the Blessed",3.39
215,Ialallo29,15.0,Female,40.0,Second Chance,2.52
216,Tyeudariasuir90,21.0,Male,136.0,Ghastly Adamantite Protector,3.58
217,Cosadar58,38.0,Male,25.0,Hero Cane,4.35
218,Aelastirin39,23.0,Male,76.0,Haunted Bronzed Bludgeon,3.15
219,Aidai53,19.0,Male,57.0,"Despair, Favor of Due Diligence",4.6
220,Jiskjask85,40.0,Male,46.0,Hopeless Ebon Dualblade,1.33
221,Ealrion88,30.0,Male,175.0,Woeful Adamantite Claymore,4.48
222,Chamjask73,22.0,Female,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
223,Undirrala66,22.0,Male,142.0,Righteous Might,2.62
224,Lisosia93,25.0,Male,157.0,"Spada, Etcher of Hatred",4.8
225,Tyaenasti87,24.0,Female,154.0,Feral Katana,4.4
226,Alim85,25.0,Male,54.0,Eternal Cleaver,2.5
227,Haeladil46,18.0,Male,24.0,Warped Fetish,3.81
228,Jiskirran77,20.0,Other / Non-Disclosed,80.0,Dreamsong,3.39
229,Undosia27,17.0,Male,72.0,Winter's Bite,3.77
230,Peorith44,24.0,Male,102.0,Avenger,3.44
231,Yarithsurgue62,26.0,Male,139.0,"Mercy, Katana of Dismay",4.94
232,Sundadar27,31.0,Male,114.0,Yearning Mageblade,3.82
233,Taeduenu92,19.0,Female,66.0,Victor Iron Spikes,4.4
234,Chamimla85,16.0,Male,97.0,"Swan Song, Gouger Of Terror",2.5
235,Rairin89,24.0,Male,163.0,Thunderfury Scimitar,3.45
236,Aerithriaphos46,16.0,Male,107.0,"Splitter, Foe Of Subtlety",2.18
237,Idairin51,20.0,Other / Non-Disclosed,16.0,Restored Bauble,3.55
238,Lisista54,21.0,Male,42.0,The Decapitator,1.75
239,Eodailis27,30.0,Male,19.0,"Pursuit, Cudgel of Necromancy",1.02
240,Lirtastsda29,16.0,Male,82.0,Nirvana,4.9
241,Undilsan50,22.0,Male,10.0,Sleepwalker,1.79
242,Eodaisu60,16.0,Other / Non-Disclosed,39.0,"Betrayal, Whisper of Grieving Widows",3.94
243,Quaranmol58,24.0,Male,83.0,Lifebender,3.33
244,Lirtossa60,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
245,Lisim78,20.0,Male,85.0,Malificent Bag,1.75
246,Lirtilsa71,24.0,Male,139.0,"Mercy, Katana of Dismay",4.94
247,Iskadarya95,20.0,Male,82.0,Nirvana,4.9
248,Isursuir31,44.0,Male,137.0,"Aetherius, Boon of the Blessed",3.39
249,Sundirrala66,20.0,Male,16.0,Restored Bauble,3.55
250,Saerallora71,23.0,Male,87.0,"Deluge, Edge of the West",4.43
251,Iasur80,22.0,Male,23.0,Crucifer,1.99
252,Tyaelo67,39.0,Male,92.0,Final Critic,4.88
253,Aesty53,21.0,Male,28.0,"Flux, Destroyer of Due Diligence",1.06
254,Quanunwen42,23.0,Female,94.0,Mourning Blade,3.49
255,Sondastsda82,24.0,Male,71.0,Demise,1.61
256,Chamirra53,23.0,Male,182.0,Toothpick,4.03
257,Yasur35,26.0,Male,175.0,Woeful Adamantite Claymore,4.48
258,Assehoan67,26.0,Male,149.0,"Tranquility, Razor of Black Magic",1.75
